,crsp_fundno,crsp_portno,date,mth_return,exp_ratio,turn_ratio,normalised_flow,gdp_to_debt_ratio,gdp_growth_rate,unm_rate,infl_rate,mktrf,smb,hml,rmw,cma,rf,umd,excess_return,rolling_sharpe,mkt_return,rolling_alpha_3f,rolling_alpha_4f,rolling_alpha_5f,shortrun_momentum
8458,2756.0,1004105.0,2006-06-30,-0.01040312093628093,0.016,2.39,-0.0605,61.221,3.4835,4.6,3.42,-0.0035,-0.0024,0.0085,0.0132,-0.0007,0.004,0.0154,-0.01044312093628093,-3.110636940269236,-0.0027538812259952916,-0.01044312093628093,-0.01044312093628093,-0.01044312093628093,-0.007649239710285638
8524,2756.0,1004105.0,2006-07-31,-0.08409986859395535,0.016,2.39,-0.038,61.333,3.4835,4.7,3.42,-0.0078,-0.0363,0.026,0.0163,0.009,0.004,-0.0212,-0.08413986859395535,-4.825182673382749,-0.04177163180847543,-0.08413986859395535,-0.08413986859395535,-0.08413986859395535,-0.02498873824788278
8735,2756.0,1004105.0,2006-08-31,0.01865136298421799,0.016,2.39,-0.014857142857142857,61.333,3.4835,4.7,3.42,0.0203,0.0044,-0.0206,-0.0186,0.0209,0.0042,-0.0338,0.01860936298421799,-2.6586232626636694,0.0465738220760743,0.01860936298421799,0.01860936298421799,0.01860936298421799,-0.025966645195873956
8862,2756.0,1004105.0,2006-09-29,0.025352112676056526,0.016,2.39,-0.015,61.333,3.4835,4.5,3.42,0.0184,-0.0146,0.0008,0.0082,0.006,0.0041,-0.0096,0.025311112676056527,-1.7478864902665643,0.04709667179449606,0.025311112676056527,0.025311112676056527,0.025311112676056527,-0.030665084998591923
8916,2756.0,1004105.0,2006-10-31,0.005494505494505475,0.016,2.39,-0.058823529411764705,61.827,3.4835,4.4,3.42,0.0323,0.0198,-0.0031,-0.0012,0.0028,0.0041,-0.002,0.005453505494505475,-1.5081213996252019,0.0474025825952189,0.005453505494505475,0.005453505494505475,0.005453505494505475,-0.030525031770336424
9016,2756.0,1004105.0,2006-11-30,0.015027322404371546,0.016,1.65,0.05810810810810811,61.827,3.4835,4.5,3.42,0.0171,0.0071,0.0014,0.0015,-0.008,0.0042,-0.0103,0.014985322404371546,-1.2028617083653645,0.03388664020097831,0.014985322404371546,0.014985322404371546,0.014985322404371546,-0.027503984671919907
9228,2756.0,1004105.0,2006-12-29,-0.010767160161507361,0.016,1.65,-0.009722222222222222,61.827,3.4835,4.4,2.54,0.0087,-0.0082,0.0273,-0.0072,0.0206,0.004,0.0079,-0.010807160161507361,-1.239504826804218,-0.019176539057048192,-0.010807160161507361,-0.010807160161507361,-0.010807160161507361,-0.01745267200059312
9412,2756.0,1004105.0,2007-01-31,0.04081632653061229,0.016,1.65,-0.09323529411764706,62.253,2.7845,4.6,2.54,0.014,0.0007,-0.0068,0.0026,0.0038,0.0044,0.0024,0.04077232653061229,-0.7341678065183896,0.020137745114217287,0.04077232653061229,0.04077232653061229,0.04077232653061229,0.003409547505109689
9546,2756.0,1004105.0,2007-02-28,-0.02352941176470591,0.016,1.65,-0.04375,62.253,2.7845,4.5,2.54,-0.0196,0.0129,-0.0014,-0.0051,-0.0071,0.0038,-0.0135,-0.02356741176470591,-0.8839292608774328,-0.017117890736624175,-0.02356741176470591,-0.02356741176470591,-0.02356741176470591,0.007558813094618033
9703,2756.0,1004105.0,2007-03-30,0.009370816599732379,0.016,1.65,-0.009375,62.253,2.7845,4.4,2.54,0.0068,0.002,-0.0097,0.0064,-0.0065,0.0043,0.0256,0.00932781659973238,-0.7678142534183414,0.00610808918866268,0.00932781659973238,0.00932781659973238,0.00932781659973238,0.005843262599794323
9744,2756.0,1004105.0,2007-04-30,0.02652519893899208,0.016,1.65,-0.05129032258064516,61.572,2.7845,4.5,2.54,0.0349,-0.0204,-0.0145,0.0115,0.0103,0.0044,-0.0024,0.02648119893899208,-0.5297731192414072,0.05382090288475805,0.02648119893899208,0.02648119893899208,0.02648119893899208,-0.010148165854259336
9901,2756.0,1004105.0,2007-05-31,0.023255813953488413,0.016,1.65,-0.0140625,61.572,2.7845,4.4,2.54,0.0324,0.004,-0.0065,0.0158,-0.0137,0.0041,-0.0034,0.023214813953488414,0.307781194373939,0.03235975982130901,-0.007221310458163619,-0.005193271815239411,-0.0071415713590771215,-0.011045640800838955
10135,2756.0,1004105.0,2007-06-29,0.012626262626262541,0.016,1.65,-0.01903225806451613,61.572,2.7845,4.6,2.54,-0.0196,0.0074,-0.0105,0.0053,0.0008,0.004,0.0051,0.012586262626262541,0.5119391074149044,0.0030650684627975266,-0.0038470732032655133,-0.0014580079739868526,-0.006173313520997096,-0.008946151883373851
10211,2756.0,1004105.0,2007-07-31,-0.018703241895261735,0.016,1.65,-0.027,61.848,2.7845,4.7,2.54,-0.0373,-0.0299,-0.0371,0.002,-0.0113,0.004,0.0294,-0.018743241895261734,1.8397121914621901,-0.0010547112444740936,0.0021007865878420644,0.002148983900549334,0.0001020777776418267,-0.005730427451714408
10423,2756.0,1004105.0,2007-08-31,0.027954256670902122,0.016,1.65,-0.017,61.848,2.7845,4.6,2.54,0.0092,-0.0038,-0.0186,-0.0121,-0.0054,0.0042,0.001,0.027912256670902122,1.9245253148722639,0.02933134589835018,0.0025307293991510193,0.0029322865069867387,0.0019479764637470118,-0.0031548085715902285
10455,2756.0,1004105.0,2007-09-28,0.034610630407911014,0.016,1.65,-0.003870967741935484,61.848,2.7845,4.7,2.54,0.0322,-0.0244,-0.0221,-0.0052,-0.0302,0.0032,0.0463,0.03457863040791102,1.9825173781932777,0.05148015465075528,0.001318439304890044,0.0013068582265099039,0.0010323615094197354,-0.01196504804035999
10606,2756.0,1004105.0,2007-10-31,0.07048984468339325,0.016,1.65,-0.18535714285714286,62.719,2.7845,4.7,2.54,0.018,-0.0008,-0.0298,-0.0029,-0.0009,0.0032,0.0502,0.07045784468339325,2.252321500494437,0.07071357578065718,0.0020898514535172587,0.0010901518222938824,0.000998388600518544,-0.0061567815225187505
2994,3230.0,1026123.0,2002-09-30,-0.16904625928041128,0.0269,1.07,0.0044444444444444444,56.703,0.9555,5.7,1.55,-0.1035,0.0308,0.0145,0.0328,-0.022,0.0014,0.0913,-0.16906025928041127,-3.8409808377361294,-0.11657716078687796,-0.16906025928041127,-0.16906025928041127,-0.16906025928041127,-0.05246909849353332
3071,3230.0,1026123.0,2002-10-31,0.15532646048109955,0.0269,1.07,-0.01633333333333333,57.91,0.9555,5.7,1.55,0.0784,-0.0431,-0.0394,-0.0339,0.0077,0.0014,-0.0558,0.15531246048109956,-0.3620006433894188,0.1886080272093682,0.15531246048109956,0.15531246048109956,0.15531246048109956,-0.042875332610900985
3167,3230.0,1026123.0,2002-11-29,0.15229030339083893,0.0269,1.07,-0.003218390804597701,57.91,0.9555,5.9,1.55,0.0596,0.0293,-0.0126,-0.0922,0.0512,0.0012,-0.1633,0.15227830339083892,0.5549165472757575,0.12789781147689672,0.15227830339083892,0.15227830339083892,0.15227830339083892,-0.02045272443595325
3288,3230.0,1026123.0,2002-12-31,-0.13887454827052148,0.0269,1.07,-0.3134375,57.91,0.9555,6.0,2.38,-0.0576,0.0061,0.0214,0.063,-0.0168,0.0011,0.0964,-0.1388855482705215,-0.16857450972922366,-0.11802704358952565,-0.1388855482705215,-0.1388855482705215,-0.1388855482705215,-0.009912193165107422
3368,3230.0,1026123.0,2003-01-31,-0.008393285371702697,0.0269,1.07,-0.3343333333333333,57.819,1.7004,5.8,2.38,-0.0257,0.0069,-0.0081,-0.0097,0.007,0.001,0.0155,-0.008403285371702696,-0.1920194899187923,-0.0013409666393393582,-0.008403285371702696,-0.008403285371702696,-0.008403285371702696,-0.0011691104998056516
3461,3230.0,1026123.0,2003-02-28,0.0096735187424426,0.0269,1.07,-0.3343333333333333,57.819,1.7004,5.9,2.38,-0.0188,-0.0094,-0.0137,0.0084,-0.0061,0.0009,0.0117,0.0096645187424426,-0.1423540113011946,0.027150198639773748,0.0096645187424426,0.0096645187424426,0.0096645187424426,-0.01512550110356344
3536,3230.0,1026123.0,2003-03-31,-0.01856287425149694,0.0269,1.07,-0.34586206896551724,57.819,1.7004,5.9,2.38,0.0109,0.0066,-0.0194,0.0186,-0.0078,0.001,0.0148,-0.01857287425149694,-0.20285291525829469,0.008833940416765884,-0.01857287425149694,-0.01857287425149694,-0.01857287425149694,-0.017308604432652436
3635,3230.0,1026123.0,2003-04-30,0.09029896278218419,0.0215,1.41,6.870285714285714,58.961,1.7004,6.0,2.38,0.0822,0.0101,0.0115,-0.0467,0.0107,0.001,-0.0933,0.09028896278218419,0.11828723573272641,0.08579907697700229,0.09028896278218419,0.09028896278218419,0.09028896278218419,-0.013457869586804025
3704,3230.0,1026123.0,2003-05-30,0.10800223838836032,0.0215,1.41,4.013142857142857,58.961,1.7004,6.1,2.38,0.0605,0.0482,0.0039,-0.0701,0.029,0.0009,-0.107,0.10799323838836032,0.43917824975995035,0.08302438492484798,0.10799323838836032,0.10799323838836032,0.10799323838836032,0.000693641533477137
