mktrf,smb,hml,rmw,cma,rf,umd,dateff
0.009300,0.019300,0.059400,-0.018400,0.029100,0.00230,0.048300,1993-01-29
0.001200,-0.034500,0.064200,-0.004200,0.041300,0.00220,0.031400,1993-02-26
0.023000,0.000900,0.011800,-0.001500,0.009000,0.00250,0.037300,1993-03-31
-0.030500,-0.008500,0.024900,-0.036100,0.013800,0.00240,0.003800,1993-04-30
0.028900,0.019000,-0.034200,-0.001200,-0.010400,0.00220,0.002200,1993-05-28
0.003100,0.001300,0.027500,-0.009200,0.012100,0.00250,0.045500,1993-06-30
-0.003400,0.009500,0.028500,-0.018700,0.020600,0.00240,0.031600,1993-07-30
0.037100,0.001000,0.001300,-0.015400,-0.000400,0.00250,0.026500,1993-08-31
-0.001200,0.029800,-0.003100,0.002400,-0.001600,0.00260,0.033700,1993-09-30
0.014100,0.018900,-0.027600,0.005700,0.006000,0.00220,-0.027200,1993-10-29
-0.018900,-0.012700,-0.007400,0.022300,-0.009400,0.00250,-0.047400,1993-11-30
0.016500,0.014000,0.003200,0.011600,-0.003400,0.00230,0.023600,1993-12-31
0.028700,-0.000600,0.011500,-0.016600,0.014300,0.00250,0.000000,1994-01-31
-0.025500,0.026700,-0.015400,0.021400,-0.010000,0.00210,-0.003000,1994-02-28
-0.047800,-0.010400,0.016000,0.006900,0.012800,0.00270,-0.012700,1994-03-31
0.006800,-0.010100,0.016600,0.010700,0.011100,0.00270,0.003900,1994-04-29
0.005800,-0.025600,0.006700,0.006000,0.006800,0.00310,-0.021900,1994-05-31
-0.030300,-0.005000,0.016700,0.012100,0.014700,0.00310,-0.008700,1994-06-30
0.028200,-0.018500,0.005800,-0.006500,0.001400,0.00280,0.001800,1994-07-29
0.040100,0.013700,-0.025100,0.009500,-0.014700,0.00370,0.015500,1994-08-31
-0.023100,0.028000,-0.018900,0.005200,0.009300,0.00370,0.013100,1994-09-30
0.013400,-0.023000,-0.016200,0.002300,-0.006800,0.00380,0.014900,1994-10-31
-0.040400,0.000700,-0.007000,0.004200,-0.005000,0.00370,-0.001800,1994-11-30
0.008600,0.000000,-0.001300,0.003700,0.003800,0.00440,0.034800,1994-12-30
0.018000,-0.030600,0.025700,0.001700,-0.007500,0.00420,-0.018100,1995-01-31
0.036300,-0.005400,0.010800,0.005900,-0.003300,0.00400,-0.003900,1995-02-28
0.021900,-0.005100,-0.021500,-0.001700,0.002200,0.00460,0.004300,1995-03-31
0.021100,-0.002200,0.017100,0.004100,0.009000,0.00440,0.017900,1995-04-28
0.029000,-0.021900,0.022900,0.003900,0.000400,0.00540,-0.004200,1995-05-31
0.027200,0.030600,-0.025400,-0.003300,-0.024400,0.00470,0.029300,1995-06-30
0.037200,0.020900,-0.016200,0.003000,-0.016500,0.00450,0.025600,1995-07-31
0.005500,0.017500,0.027900,-0.012400,0.016200,0.00470,0.001600,1995-08-31
0.033500,-0.018800,-0.000400,0.010300,0.003600,0.00430,0.029000,1995-09-29
-0.015200,-0.040400,-0.005000,0.019100,-0.000500,0.00470,0.041600,1995-10-31
0.039600,-0.010700,0.005100,-0.006200,0.011200,0.00420,-0.006800,1995-11-30
0.010300,0.007200,0.002200,-0.013700,0.031000,0.00490,0.025200,1995-12-29
0.022600,-0.025600,0.003800,0.001800,0.023100,0.00430,0.005400,1996-01-31
0.013300,0.017700,-0.010800,0.002400,-0.019000,0.00390,0.005900,1996-02-29
0.007300,0.016100,0.003500,0.014200,-0.009500,0.00390,-0.018400,1996-03-29
0.020600,0.047100,-0.040200,-0.001400,-0.021100,0.00460,-0.008800,1996-04-30
0.023600,0.032100,-0.008300,0.001200,-0.003000,0.00420,0.015400,1996-05-31
-0.011400,-0.036500,0.023500,0.035100,0.012200,0.00400,0.009800,1996-06-28
-0.059700,-0.038100,0.051400,0.029500,0.026000,0.00450,-0.001600,1996-07-31
0.027700,0.025700,-0.007400,-0.003700,-0.024200,0.00410,0.000100,1996-08-30
0.050100,-0.013900,-0.027200,0.012700,-0.022200,0.00440,0.027000,1996-09-30
0.008600,-0.037700,0.049400,0.014000,0.032500,0.00420,0.037900,1996-10-31
0.062500,-0.038000,0.013900,0.021200,-0.007900,0.00410,-0.023700,1996-11-29
-0.017000,0.032500,0.013100,0.003700,0.014900,0.00460,0.006300,1996-12-31
0.049900,-0.018200,-0.014200,0.011900,-0.000200,0.00450,0.019600,1997-01-31
-0.004900,-0.025900,0.056700,0.006700,0.034700,0.00390,-0.021300,1997-02-28
-0.050300,-0.004300,0.033900,0.005000,0.016600,0.00430,0.009000,1997-03-31
0.040400,-0.057000,0.000700,0.032600,-0.007200,0.00430,0.048400,1997-04-30
0.067400,0.047500,-0.041300,-0.010200,-0.029600,0.00490,-0.051700,1997-05-30
0.041000,0.011900,0.015800,0.005600,0.006600,0.00370,0.026000,1997-06-30
0.073300,-0.027600,0.002600,0.000700,-0.025800,0.00430,0.037700,1997-07-31
-0.041500,0.076100,0.011800,-0.011100,-0.000400,0.00410,-0.025600,1997-08-29
0.053500,0.024900,0.003700,-0.016300,-0.009100,0.00440,0.014700,1997-09-30
-0.038000,-0.005200,0.022700,0.010000,0.019400,0.00420,-0.005700,1997-10-31
