,Model,MAE,MSE,RMSE,R2,MASE
0,naive,0.42346372977362823,1.8246575442019421,1.3507988540867002,-0.05124302986756968,0.6477482679480374
1,linear_3f,0.6828580086324693,0.8527512865838768,0.9234453349191152,0.508702962328207,1.044528872833052
2,linear_4f,0.6664712201967222,0.8318423971010571,0.9120539441837073,0.5207492361075967,1.0194629390111392
3,linear_5f,0.6905167900871667,0.8783162636438334,0.9371852877866966,0.49397416895632074,1.056244073151447
4,ffnn_3f,0.7563150014105946,1.0948082133550938,1.0463308336062231,0.36924629666073183,1.1568918368728245
5,ffnn_4f,0.7001761927747218,0.9401715810464549,0.9696244536141067,0.4583373605665074,1.0710195094411645
6,ffnn_5f,0.7453785569121184,0.9943669547121357,0.9971794997452242,0.42711368848724407,1.140162982703461
7,rf_3f,0.4547818969411683,0.3957354581019627,0.6290750814505075,0.772004262759842,0.6956538785393521
8,rf_4f,0.4559248105906279,0.3906606833103802,0.625028545996405,0.7749280013236897,0.6974021282353707
9,rf_5f,0.4501063340620488,0.3994209334821553,0.6319975739527449,0.7698809436101818,0.688501937195401
10,3f_rnn,0.45493407923095364,0.40148583889985234,0.6336291019988368,0.7686912861675632,0.6958866630913456
11,4f_rnn,0.5205767942888935,0.4797161337322479,0.6926154298976077,0.723620334400003,0.7962965730614794
12,5f_rnn,0.5545223462248344,0.6126791808897246,0.7827382582253947,0.6470161096793664,0.84822114398707
